lone",3,"Two races","2.5","+/-0.3","(X)","(X)"
"002","White alone",4,"Three races","0.1","+/-0.1","(X)","(X)"
"002","White alone",5,"Four or more races","0.0","+/-0.1","(X)","(X)"
"002","White alone",6,"Male","50.6","+/-0.4","50.5","+/-0.5"
"002","White alone",7,"Female","49.4","+/-0.4","49.5","+/-0.5"
"002","White alone",8,"Under 5 years","6.9","+/-0.3","6.5","+/-0.3"
"002","White alone",9,"5 to 17 years","18.1","+/-0.3","16.8","+/-0.4"
"002","White alone",10,"18 to 24 years","9.7","+/-0.4","9.0","+/-0.4"
