0,000 to $299,999","21.5","+/-0.2",,,,,,,,,,
"S2506",7.0,"$300,000 to $499,999","14.7","+/-0.1",,,,,,,,,,
"S2506",8.0,"$500,000 or more","5.7","+/-0.1",,,,,,,,,,
"S2506",9.0,"Median (dollars)","176,800","+/-673",,,,,,,,,,
"S2506",9.3,,,,,,,,,,,,,
"S2506",9.5,"MORTGAGE STATUS",,,,,,,,,,,,
"S2506",10.0,"With either a second mortgage, or home equity loan, but not both","28.1","+/-0.2",,,,,,,,,,
"S2506",11.0,"Second mortgage only","6.9","+/-0.1",,,,,,,,,,
"S2506",12.0,"Home equity loan only","21.2","+/-0.2",,,,
