.3","(X)","(X)","(X)","(X)","(X)",,,,,,
"S2301",0.0,,,,,,,,,,,,,
"S2301",0.5,,"Total","Margin of Error","In labor force","Margin of Error","Employed","Margin of Error","Unemployment rate","Margin of Error",,,,
"S2301",1.0,"Population 16 years and over","6,592,297","+/-4,290","62.2","+/-0.3","57.7","+/-0.3","7.1","+/-0.2",,,,
"S2301",1.5,"AGE",,,,,,,,,,,,
"S2301",2.0,"16 to 19 years","438,975","+/-4,334","25.1","+/-1.0","17.4","+/-0.9","30.8","+/-2.2",,,,
"S2301",3.0,"20 to 24 years","578,209","+/-1,575","65
