S)",,,,
"B01002G",.,"Universe:  Two or more races population",,,,
"B01002G",0.700,"Median age --",,,,
"B01002G",1.000,"Total:","20.3","+/-4.8","15.5","25.1"
"B01002G",2.000,"Male","15.1","+/-7.6","7.5","22.7"
"B01002G",3.000,"Female","27.1","+/-16.5","10.6","43.6"
"B01002H",.,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B01002H",.,"Universe:  White alone, not Hispanic or Latino population",,,,
"B01002H",0.700,"Median age --",,,,
"B01002H",1.000,"Total:","41.3","+/-0.4","40.9","41.7"
"B0100
