002G",79.000,"Not in labor force","N","N","N","N"
"B23002H",.,"SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B23002H",.,"Universe:  White alone, not Hispanic or Latino population 16 years and over",,,,
"B23002H",1.000,"Total:","400,579","+/-9,147","391,432","409,726"
"B23002H",2.000,"Male:","194,516","+/-5,989","188,527","200,505"
"B23002H",3.000,"16 to 19 years:","10,532","+/-1,553","8,979","12,085"
"B23002H",4.000,"In labor force:","4,491"
