cal, and social science occupations","57,057","+/-8,157","48,900","65,214"
"B24012",47.000,"Community and social services occupations","32,432","+/-19,316","13,116","51,748"
"B24012",48.000,"Legal occupations","81,983","+/-15,020","66,963","97,003"
"B24012",49.000,"Education, training, and library occupations","37,067","+/-3,728","33,339","40,795"
"B24012",50.000,"Arts, design, entertainment, sports, and media occupations","33,622","+/-17,130","16,492","50,752"
"B24012",51.000,"Healthcare practitioner and t
