30,000 to $49,999","10,067","+/-1,655","8,412","11,722"
"C20005",19.000,"$50,000 to $74,999","8,011","+/-1,381","6,630","9,392"
"C20005",20.000,"$75,000 or more","10,605","+/-1,502","9,103","12,107"
"C20005",21.000,"Female:","286,630","+/-915","285,715","287,545"
"C20005",22.000,"Worked full-time, year-round in the past 12 months:","96,746","+/-4,367","92,379","101,113"
"C20005",23.000,"No earnings","0","+/-292","0","292"
"C20005",24.000,"With earnings:","96,746","+/-4,367","92,379","101,113"
"C20005",25.00
