/,inq21997.tgz,1127744.nc,19970511,-28.7500,108.717,0.700000,998.600,4.77900,20.7930,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127745.nc,19970511,-29.6333,110.500,0.700000,998.600,5.45000,21.8570,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127746.nc,19970511,-30.4500,112.250,0.700000,998.600,4.41100,22.2280,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127747.nc,19970512,-31.3833,114.333,0.700000,998.600,4.69900,19.6460,,
woce-uot,./data/basins/sc/indian/1997/q2/,in
