313A",1.000,"Aggregate income in the past 12 months (in 2007 inflation-adjusted dollars)","122,602,018,900","+/-1,454,356,502","121,147,662,398","124,056,375,402"
"B19313B",.,"AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B19313B",.,"Universe:  Black or African American alone population 15 years and over",,,,
"B19313B",1.000,"Aggregate income in the past 12 months (in 2007 inflation-adjusted dollars)",
