tral America:",158,"Unemployed","4.0","+/-0.6","5.3","+/-2.0"
"716","Central America:",159,"Percent of civilian labor force","6.0","+/-0.9","7.1","+/-2.7"
"716","Central America:",160,"Armed Forces","0.6","+/-0.1","0.0","+/-0.3"
"716","Central America:",161,"Not in labor force","33.9","+/-0.9","25.0","+/-3.4"
"716","Central America:",162,"Females 16 years and over","306,730","+/-3,552","23,527","+/-2,272"
"716","Central America:",163,"In labor force","59.6","+/-1.3","57.1","+/-5.8"
"716","Central America:",
