",184.000,"Farming, fishing, and forestry occupations","0","+/-292","0","292"
"B24060",185.000,"Construction, extraction, maintenance, and repair occupations:","1,524","+/-540","984","2,064"
"B24060",186.000,"Construction and extraction occupations","684","+/-330","354","1,014"
"B24060",187.000,"Installation, maintenance, and repair occupations","840","+/-426","414","1,266"
"B24060",188.000,"Production, transportation, and material moving occupations:","1,219","+/-574","645","1,793"
"B24060",189.000,"Produc
