LATINO ORIGIN OF HOUSEHOLDER",,,,,,,,,,,,
"S2502",1.7,"One race --",,,,,,,,,,,,
"S2502",2.0,"White","N","N","62.0","+/-3.4","41.5","+/-8.9",,,,,,
"S2502",3.0,"Black or African American","N","N","35.7","+/-3.2","55.2","+/-9.2",,,,,,
"S2502",4.0,"American Indian and Alaska Native","N","N","N","N","N","N",,,,,,
"S2502",5.0,"Asian","N","N","N","N","N","N",,,,,,
"S2502",6.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N",,,,,,
"S2502",7.0,"Some other race","N","N","N","N","N","N",,,,,,
"S250
