.000,"Less than 9th grade","3,918","+/-1,871","2,047","5,789"
"B15002F",4.000,"9th to 12th grade, no diploma","1,766","+/-773","993","2,539"
"B15002F",5.000,"High school graduate (includes equivalency)","5,489","+/-1,566","3,923","7,055"
"B15002F",6.000,"Some college, no degree","2,674","+/-1,014","1,660","3,688"
"B15002F",7.000,"Associate's degree","1,196","+/-646","550","1,842"
"B15002F",8.000,"Bachelor's degree","1,399","+/-573","826","1,972"
"B15002F",9.000,"Graduate degree","950","+/-688","262","1,638"
