"2.6","+/-0.1","3.7","+/-0.1","0.2","+/-0.1",,,,,,
"S2503",49.0,"Zero or negative income","0.8","+/-0.1","0.4","+/-0.1","1.9","+/-0.1",,,,,,
"S2503",50.0,"No cash rent","1.3","+/-0.1","(X)","(X)","4.4","+/-0.1",,,,,,
"S2503",50.3,,,,,,,,,,,,,
"S2503",50.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S2503",51.0,"Tenure","0.5","(X)","(X)","(X)","(X)","(X)",,,,,,
"S2503",52.0,"Monthly housing costs","(X)","(X)","31.8","(X)","(X)","(X)",,,,,,
"S2503",53.0,"Gross rent","(X)","(X)","(X)","(X)","18.2","(X)",,,,,,
"S2504",0.0,,
