VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B21001H",.,"Universe: White alone, not Hispanic or Latino civilian population 18 years and over",,,,
"B21001H",1.000,"Total:","263,971","+/-863","263,108","264,834"
"B21001H",2.000,"Male:","129,888","+/-661","129,227","130,549"
"B21001H",3.000,"18 to 34 years:","22,908","+/-559","22,349","23,467"
"B21001H",4.000,"Veteran","400","+/-330","70","730"
"B21001H",5.000,"Nonveteran","22,508","+/-643","21,865","
