17.000,"Nonveteran","1,216","+/-483","733","1,699"
"B21001I",18.000,"Female:","104,713","+/-1,852","102,861","106,565"
"B21001I",19.000,"18 to 34 years:","45,934","+/-1,567","44,367","47,501"
"B21001I",20.000,"Veteran","484","+/-275","209","759"
"B21001I",21.000,"Nonveteran","45,450","+/-1,565","43,885","47,015"
"B21001I",22.000,"35 to 54 years:","43,191","+/-1,599","41,592","44,790"
"B21001I",23.000,"Veteran","1,462","+/-683","779","2,145"
"B21001I",24.000,"Nonveteran","41,729","+/-1,614","40,115","43,343"
