2/,inq21997.tgz,1141546.nc,19970606,26.2667,51.8333,0.00000,34.0000,24.5000,28.3000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,945398.nc,19970606,26.1833,51.9500,0.00000,37.0000,23.7000,28.0000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1141568.nc,19970607,26.6500,52.7667,0.00000,76.0000,19.0000,28.8000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1141577.nc,19970607,26.7333,52.8000,0.00000,81.0000,19.0000,29.3000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.t
