maintenance, and repair occupations including supervisors","5,902","+/-1,075","4,827","6,977"
"B24010",107.000,"Production, transportation, and material moving occupations:","26,632","+/-2,626","24,006","29,258"
"B24010",108.000,"Production occupations:","10,710","+/-1,861","8,849","12,571"
"B24010",109.000,"Assemblers and fabricators","651","+/-466","185","1,117"
"B24010",110.000,"Food processing workers","260","+/-230","30","490"
"B24010",111.000,"Metal workers and plastic workers","3,400","+/-997","2,403
