rade, no diploma","13.9%","1.2","20.0%","1.2","*"
"DP02",60.0,"High school graduate (includes equivalency)","41.2%","1.8","40.5%","2.0",
"DP02",61.0,"Some college, no degree","17.9%","1.4","15.6%","1.5",
"DP02",62.0,"Associate's degree","4.3%","0.8","3.2%","0.6",
"DP02",63.0,"Bachelor's degree","9.4%","1.3","8.0%","0.9",
"DP02",64.0,"Graduate or professional degree","4.1%","0.8","2.7%","0.6",
"DP02",64.3,,,,,,
"DP02",65.0,"Percent high school graduate or higher","76.9","**","70.1","**","*"
"DP02",66.0,"Perc
