indian/1997/q2/,inq21997.tgz,990960.nc,19970429,-15.1200,40.9033,0.700000,836.100,7.15000,28.6900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,990961.nc,19970430,-16.3817,40.1650,0.700000,836.100,6.77000,27.8500,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,990962.nc,19970430,-17.2783,39.1817,0.700000,836.100,6.79000,27.6900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,990963.nc,19970430,-17.9967,38.1783,0.700000,836.100,7.04000,27.9600,,
woce-uot,./data/basins/sc/indian/1
