4.000,"Hungarian","1,630","+/-810","820","2,440"
"C04004",15.000,"Irish","35,054","+/-3,904","31,150","38,958"
"C04004",16.000,"Italian","9,534","+/-2,130","7,404","11,664"
"C04004",17.000,"Lithuanian","0","+/-265","0","265"
"C04004",18.000,"Norwegian","235","+/-264","0","499"
"C04004",19.000,"Polish","1,323","+/-676","647","1,999"
"C04004",20.000,"Portuguese","0","+/-265","0","265"
"C04004",21.000,"Russian","309","+/-310","0","619"
"C04004",22.000,"Scotch-Irish","7,053","+/-1,494","5,559","8,547"
"C04004",
