4090",.,"Universe:  Full-time, year-round civilian employed population 16 years and over",,,,
"B24090",1.000,"Total:","266,606","+/-10,314","256,292","276,920"
"B24090",2.000,"Male:","155,913","+/-7,728","148,185","163,641"
"B24090",3.000,"Private for-profit wage and salary workers:","130,864","+/-7,185","123,679","138,049"
"B24090",4.000,"Employee of private company workers","119,070","+/-6,943","112,127","126,013"
"B24090",5.000,"Self-employed in own incorporated business workers","11,794","+/-1,529","10,
