 TO 70 MPH WINDS (GID)
0025,60,8 W OCONTO,CUSTER,NE,41.14,-99.91,(LBF)
0140,UNK,15 NW VIRGINIA,ST. LOUIS,MN,47.67,-92.74,SEVERAL LARGE TREES BLOWN DOWN NEAR LAKE FOURTEEN. TIME ESTIMATED FROM RADAR. (DLH)
0140,UNK,14 NW ISABELLA,LAKE,MN,47.76,-91.57,FEW TREES BLOWN DOWN. TIME ESTIMATED FROM RADAR (DLH)
0145,UNK,15 NNW GRAND RAPIDS,ITASCA,MN,47.43,-93.65,LARGE TREES BLOWN DOWN. TIME ESTIMATED FROM RADAR. (DLH)
0155,UNK,4 N GRAND RAPIDS,ITASCA,MN,47.29,-93.52,TREES BLOWN DOWN. TIME ESTIMATED FROM RADAR. (DLH)
