",28.000,"$30,000 to $49,999","41,830","+/-3,159","38,671","44,989"
"C20005B",29.000,"$50,000 to $74,999","23,483","+/-2,707","20,776","26,190"
"C20005B",30.000,"$75,000 or more","12,659","+/-1,667","10,992","14,326"
"C20005B",31.000,"Other:","158,416","+/-4,713","153,703","163,129"
"C20005B",32.000,"No earnings","76,319","+/-3,783","72,536","80,102"
"C20005B",33.000,"With earnings:","82,097","+/-3,989","78,108","86,086"
"C20005B",34.000,"$1 to $9,999 or loss","34,695","+/-2,767","31,928","37,462"
"C20005B"
