","N"
"B19037C",7.000,"$25,000 to $29,999","N","N","N","N"
"B19037C",8.000,"$30,000 to $34,999","N","N","N","N"
"B19037C",9.000,"$35,000 to $39,999","N","N","N","N"
"B19037C",10.000,"$40,000 to $44,999","N","N","N","N"
"B19037C",11.000,"$45,000 to $49,999","N","N","N","N"
"B19037C",12.000,"$50,000 to $59,999","N","N","N","N"
"B19037C",13.000,"$60,000 to $74,999","N","N","N","N"
"B19037C",14.000,"$75,000 to $99,999","N","N","N","N"
"B19037C",15.000,"$100,000 to $124,999","N","N","N","N"
"B19037C",16.000,"$12
