00,"50 to 54 years","1,750","+/-672","1,078","2,422"
"B07001",44.000,"55 to 59 years","1,027","+/-521","506","1,548"
"B07001",45.000,"60 to 64 years","532","+/-297","235","829"
"B07001",46.000,"65 to 69 years","1,077","+/-529","548","1,606"
"B07001",47.000,"70 to 74 years","418","+/-256","162","674"
"B07001",48.000,"75 years and over","1,923","+/-603","1,320","2,526"
"B07001",49.000,"Moved from different county within same state:","17,462","+/-3,037","14,425","20,499"
"B07001",50.000,"1 to 4 years","1,128",
