Value $90,000 to $99,999","717","+/-505","212","1,222"
"B25121",58.000,"Value $100,000 to $199,999","8,678","+/-1,561","7,117","10,239"
"B25121",59.000,"Value $200,000 to $249,999","6,061","+/-1,203","4,858","7,264"
"B25121",60.000,"Value $250,000 to $499,999","8,098","+/-1,407","6,691","9,505"
"B25121",61.000,"Value $500,000 or more","1,649","+/-788","861","2,437"
"B25121",62.000,"$50,000 to $74,999:","40,354","+/-3,266","37,088","43,620"
"B25121",63.000,"Value less than $10,000","422","+/-328","94","750"
