,000","3,553","+/-989","2,564","4,542"
"B25118",4.000,"$5,000 to $9,999","3,363","+/-954","2,409","4,317"
"B25118",5.000,"$10,000 to $14,999","7,561","+/-1,475","6,086","9,036"
"B25118",6.000,"$15,000 to $19,999","9,073","+/-1,510","7,563","10,583"
"B25118",7.000,"$20,000 to $24,999","8,558","+/-1,385","7,173","9,943"
"B25118",8.000,"$25,000 to $34,999","21,398","+/-2,382","19,016","23,780"
"B25118",9.000,"$35,000 to $49,999","28,852","+/-2,650","26,202","31,502"
"B25118",10.000,"$50,000 to $74,999","40,354
