-1,174","7.2","+/-2.0"
"DP04",30.0,"4 rooms","12,222","+/-2,117","22.0","+/-3.4"
"DP04",31.0,"5 rooms","6,308","+/-1,319","11.4","+/-2.3"
"DP04",32.0,"6 rooms","6,573","+/-1,457","11.9","+/-2.6"
"DP04",33.0,"7 rooms","8,646","+/-1,183","15.6","+/-2.2"
"DP04",34.0,"8 rooms","10,898","+/-1,497","19.6","+/-2.5"
"DP04",35.0,"9 rooms or more","5,324","+/-1,054","9.6","+/-1.9"
"DP04",36.0,"Median (rooms)","6.1","+/-0.3","(X)","(X)"
"DP04",36.3,,,,,
"DP04",36.5,"BEDROOMS",,,,
"DP04",37.0,"Total housing units","55,
