0.000,"$800 to $899","1,480","+/-641","839","2,121"
"B25104",11.000,"$900 to $999","1,541","+/-526","1,015","2,067"
"B25104",12.000,"$1,000 to $1,499","7,831","+/-1,215","6,616","9,046"
"B25104",13.000,"$1,500 to $1,999","4,956","+/-940","4,016","5,896"
"B25104",14.000,"$2,000 or more","12,200","+/-1,277","10,923","13,477"
"B25104",15.000,"No cash rent","146","+/-149","0","295"
"B25105",.,"MEDIAN MONTHLY HOUSING COSTS (DOLLARS)",,,,
"B25105",.,"Universe:  Occupied housing units with monthly housing cost",,,
