",22.000,"$55,000 to $64,999","12,643","+/-1,959","10,684","14,602"
"B20005",23.000,"$65,000 to $74,999","9,650","+/-1,656","7,994","11,306"
"B20005",24.000,"$75,000 to $99,999","16,267","+/-2,083","14,184","18,350"
"B20005",25.000,"$100,000 or more","38,724","+/-2,532","36,192","41,256"
"B20005",26.000,"Other:","133,911","+/-4,267","129,644","138,178"
"B20005",27.000,"No earnings","60,450","+/-2,964","57,486","63,414"
"B20005",28.000,"With earnings:","73,461","+/-3,717","69,744","77,178"
"B20005",29.000,"$
