ntific, and management, and administrative and waste management services","4,092","+/-1,055","3,037","5,147"
"B08126",86.000,"Educational services, and health care and social assistance","2,940","+/-862","2,078","3,802"
"B08126",87.000,"Arts, entertainment, and recreation, and accommodation and food services","2,165","+/-837","1,328","3,002"
"B08126",88.000,"Other services (except public administration)","1,519","+/-660","859","2,179"
"B08126",89.000,"Public administration","2,013","+/-635","1,378","2,648"
