",61.000,"$20,000 to $22,499","9,677","+/-1,890","7,787","11,567"
"B20005",62.000,"$22,500 to $24,999","4,767","+/-1,077","3,690","5,844"
"B20005",63.000,"$25,000 to $29,999","13,691","+/-2,263","11,428","15,954"
"B20005",64.000,"$30,000 to $34,999","13,327","+/-1,612","11,715","14,939"
"B20005",65.000,"$35,000 to $39,999","9,321","+/-1,727","7,594","11,048"
"B20005",66.000,"$40,000 to $44,999","7,123","+/-1,483","5,640","8,606"
"B20005",67.000,"$45,000 to $49,999","6,032","+/-1,219","4,813","7,251"
"B20005
