,"Administrative and support and waste management services","N","N","N","N"
"B24030",93.000,"Educational services, and health care and social assistance:","N","N","N","N"
"B24030",94.000,"Educational services","N","N","N","N"
"B24030",95.000,"Health care and social assistance:","N","N","N","N"
"B24030",96.000,"Health care","N","N","N","N"
"B24030",97.000,"Social assistance","N","N","N","N"
"B24030",98.000,"Arts, entertainment, and recreation, and accommodation and food services:","N","N","N","N"
"B24030",99
