032-045)",85,"Percent enrolled in college or graduate school","27.7","+/-1.9","29.2","+/-6.3"
"535","German (032-045)",86,"Female 3 years and over enrolled in school","133,275","+/-3,694","20,771","+/-2,596"
"535","German (032-045)",87,"Percent enrolled in kindergarten to grade 12","60.0","+/-1.7","59.8","+/-6.2"
"535","German (032-045)",88,"Percent enrolled in college or graduate school","35.7","+/-1.9","35.4","+/-5.5"
"535","German (032-045)",89,"Population 25 years and over","635,539","+/-713","117,609",
