54,999","2,185","+/-829","1,356","3,014"
"B20005D",69.000,"$55,000 to $64,999","3,036","+/-883","2,153","3,919"
"B20005D",70.000,"$65,000 to $74,999","2,382","+/-877","1,505","3,259"
"B20005D",71.000,"$75,000 to $99,999","3,022","+/-894","2,128","3,916"
"B20005D",72.000,"$100,000 or more","4,423","+/-1,029","3,394","5,452"
"B20005D",73.000,"Other:","44,103","+/-2,293","41,810","46,396"
"B20005D",74.000,"No earnings","22,224","+/-1,907","20,317","24,131"
"B20005D",75.000,"With earnings:","21,879","+/-2,175",
