ation, and material moving occupations:","2,515","+/-790","1,725","3,305"
"C24020",71.000,"Production occupations","1,385","+/-598","787","1,983"
"C24020",72.000,"Transportation and material moving occupations:","1,130","+/-583","547","1,713"
"C24020",73.000,"Supervisors, transportation and material moving workers, and other transportation workers except motor vehicle operators","132","+/-147","0","279"
"C24020",74.000,"Motor vehicle operators","923","+/-518","405","1,441"
"C24020",75.000,"Material moving w
