","13,743","18,323"
"B23003",29.000,"Unemployed","1,393","+/-627","766","2,020"
"B23003",30.000,"Not in labor force","6,654","+/-1,137","5,517","7,791"
"B23004",.,"WORK STATUS IN THE PAST 12 MONTHS BY AGE BY EMPLOYMENT STATUS FOR THE CIVILIAN POPULATION 65 YEARS AND OVER",,,,
"B23004",.,"Universe:  Civilian population 65 years and over",,,,
"B23004",1.000,"Total:","N","N","N","N"
"B23004",2.000,"Worked in the past 12 months:","N","N","N","N"
"B23004",3.000,"65 to 74 years:","N","N","N","N"
"B23004",4.000,"I
