,"Linguistically isolated","0","+/-292","0","292"
"B16002",14.000,"Not linguistically isolated","127","+/-153","0","280"
"B16003",.,"AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER IN LINGUISTICALLY ISOLATED HOUSEHOLDS",,,,
"B16003",.,"Universe:  Population 5 years and over in linguistically isolated households",,,,
"B16003",1.000,"Total:","N","N","N","N"
"B16003",2.000,"5 to 17 years:","N","N","N","N"
"B16003",3.000,"Speak only English","N","N","N","N"
"B16003",4.000,"Speak Spanish","N",
