e, physical, and social science occupations","N","N","N","N"
"B24010D",43.000,"Community and social services occupations","N","N","N","N"
"B24010D",44.000,"Legal occupations","N","N","N","N"
"B24010D",45.000,"Education, training, and library occupations","N","N","N","N"
"B24010D",46.000,"Arts, design, entertainment, sports, and media occupations","N","N","N","N"
"B24010D",47.000,"Healthcare practitioner and technical occupations","N","N","N","N"
"B24010D",48.000,"Service occupations:","N","N","N","N"
"B2401
