MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19013H",.,"Universe:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"B19013H",1.000,"Median household income in the past 12 months (in 2007 inflation-adjusted dollars)","62,694","+/-6,570","56,124","69,264"
"B19013I",.,"MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)",,,,
