n",78,"Nursery school, preschool","4.6","+/-0.8","1.7","+/-1.7"
"601","Foreign born",79,"Kindergarten","5.6","+/-0.9","3.7","+/-3.3"
"601","Foreign born",80,"Elementary school (grades 1-8)","43.6","+/-1.7","35.0","+/-7.8"
"601","Foreign born",81,"High school (grades 9-12)","24.0","+/-1.5","28.9","+/-7.7"
"601","Foreign born",82,"College or graduate school","22.2","+/-1.8","30.6","+/-9.5"
"601","Foreign born",83,"Male 3 years and over enrolled in school","96,113","+/-4,346","6,955","+/-1,829"
"601","Foreign 
