nic or Latino",17,"Median age (years)","37.0","+/-0.5","41.4","+/-0.5"
"450","Not Hispanic or Latino",18,"18 years and over","75.0","+/-0.3","78.9","+/-0.3"
"450","Not Hispanic or Latino",19,"21 years and over","70.7","+/-0.5","74.6","+/-0.5"
"450","Not Hispanic or Latino",20,"62 years and over","16.0","+/-0.3","18.8","+/-0.4"
"450","Not Hispanic or Latino",21,"65 years and over","12.6","+/-0.2","14.9","+/-0.2"
"450","Not Hispanic or Latino",22,"Under 18 years","200,416","+/-3,862","135,745","+/-2,698"
"450
