-0.1"
"DP04",64.0,"Electricity","1,866,892","+/-12,413","93.2","+/-0.3"
"DP04",65.0,"Fuel oil, kerosene, etc.","1,877","+/-610","0.1","+/-0.1"
"DP04",66.0,"Coal or coke","0","+/-303","0.0","+/-0.1"
"DP04",67.0,"Wood","553","+/-355","0.0","+/-0.1"
"DP04",68.0,"Solar energy","485","+/-274","0.0","+/-0.1"
"DP04",69.0,"Other fuel","847","+/-392","0.0","+/-0.1"
"DP04",70.0,"No fuel used","79,364","+/-4,418","4.0","+/-0.2"
"DP04",70.3,,,,,
"DP04",70.5,"SELECTED CHARACTERISTICS",,,,
"DP04",71.0,"Occupied housing u
