 races",19,"21 years and over","70.7","+/-0.5","71.7","+/-0.6"
"003","White alone or in combination with one or more other races",20,"62 years and over","16.0","+/-0.3","17.5","+/-0.4"
"003","White alone or in combination with one or more other races",21,"65 years and over","12.6","+/-0.2","13.7","+/-0.3"
"003","White alone or in combination with one or more other races",22,"Under 18 years","200,416","+/-3,862","162,584","+/-4,699"
"003","White alone or in combination with one or more other races",23,"Male"
