9 ,MILK MANUFACTURING ,29 ,Kern ,  ,  ,37200 ,18.87 ,CWT ,702000
2007 ,501299 ,MILK MANUFACTURING ,31 ,Kings ,  ,  ,264838 ,18.92 ,CWT ,5011000
2007 ,501299 ,MILK MANUFACTURING ,39 ,Madera ,  ,  ,755905 ,18.90 ,CWT ,14290000
2007 ,501299 ,MILK MANUFACTURING ,41 ,Marin ,  ,  ,727 ,16.78 ,CWT ,12200
2007 ,501299 ,MILK MANUFACTURING ,47 ,Merced ,  ,  ,3593496 ,18.97 ,CWT ,68169000
2007 ,501299 ,MILK MANUFACTURING ,67 ,Sacramento ,  ,  ,21050 ,18.76 ,CWT ,395000
2007 ,501299 ,MILK MANUFACTURING ,71 ,San B
