","Mexican",266,"Average household size of renter-occupied unit","2.31","+/-0.06","3.00","+/-0.17"
"401","Mexican",267,"1-unit, detached or attached","67.0","+/-1.0","62.6","+/-2.9"
"401","Mexican",268,"2 to 4 units","5.2","+/-0.6","6.8","+/-1.6"
"401","Mexican",269,"5 or more units","17.6","+/-1.0","20.0","+/-2.6"
"401","Mexican",270,"Mobile home, boat, RV, van, etc.","10.2","+/-0.6","10.7","+/-1.6"
"401","Mexican",271,"Built 2000 or later","16.2","+/-0.8","15.1","+/-2.0"
"401","Mexican",272,"Built 1990 to
