22,500 to $24,999","N","N","N","N"
"B20005G",16.000,"$25,000 to $29,999","N","N","N","N"
"B20005G",17.000,"$30,000 to $34,999","N","N","N","N"
"B20005G",18.000,"$35,000 to $39,999","N","N","N","N"
"B20005G",19.000,"$40,000 to $44,999","N","N","N","N"
"B20005G",20.000,"$45,000 to $49,999","N","N","N","N"
"B20005G",21.000,"$50,000 to $54,999","N","N","N","N"
"B20005G",22.000,"$55,000 to $64,999","N","N","N","N"
"B20005G",23.000,"$65,000 to $74,999","N","N","N","N"
"B20005G",24.000,"$75,000 to $99,999","N","N"
