,499","2,886","+/-829","2,057","3,715"
"B20005A",38.000,"$22,500 to $24,999","940","+/-425","515","1,365"
"B20005A",39.000,"$25,000 to $29,999","2,227","+/-657","1,570","2,884"
"B20005A",40.000,"$30,000 to $34,999","2,118","+/-816","1,302","2,934"
"B20005A",41.000,"$35,000 to $39,999","1,662","+/-610","1,052","2,272"
"B20005A",42.000,"$40,000 to $44,999","1,359","+/-526","833","1,885"
"B20005A",43.000,"$45,000 to $49,999","854","+/-496","358","1,350"
"B20005A",44.000,"$50,000 to $54,999","1,240","+/-449","7
