2.000,"Male:","88,849","+/-4,979","83,870","93,828"
"C01001I",3.000,"Under 18 years","28,876","+/-2,333","26,543","31,209"
"C01001I",4.000,"18 to 64 years","54,520","+/-3,526","50,994","58,046"
"C01001I",5.000,"65 years and over","5,453","+/-609","4,844","6,062"
"C01001I",6.000,"Female:","84,922","+/-4,695","80,227","89,617"
"C01001I",7.000,"Under 18 years","24,061","+/-2,647","21,414","26,708"
"C01001I",8.000,"18 to 64 years","53,738","+/-2,636","51,102","56,374"
"C01001I",9.000,"65 years and over","7,123"
