eholder, no husband present","91,234","+/-9,137","82,097","100,371"
"C17021",15.000,"In non-family households and other living arrangements","121,679","+/-7,091","114,588","128,770"
"C17022",.,"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE",,,,
"C17022",.,"Universe:  Families",,,,
"C17022",1.000,"Total:","196,646","+/-5,675","190,971","202,321"
"C17022",2.000,"Under 1.30:","24,233","+/-2,912","21,321","27,145"
"C17022",3.000,"Married-couple family","9,587","+/-1,603","7,9
