000US5307","1"," 35","         6,425","         2,924","         9,926"
"50000US5307","1"," 36","         1,783","            36","         3,530"
"50000US5307","1"," 37","             N","             N","             N"
"50000US5307","1"," 38","             N","             N","             N"
"50000US5307","1"," 39","             N","             N","             N"
"50000US5307","1"," 40","             N","             N","             N"
"50000US5307","1"," 41","        18,207","        11,636","
