00,"15 years","40","+/-68","0","108"
"B17001F",38.000,"16 and 17 years","691","+/-399","292","1,090"
"B17001F",39.000,"18 to 24 years","3,895","+/-1,561","2,334","5,456"
"B17001F",40.000,"25 to 34 years","6,503","+/-2,110","4,393","8,613"
"B17001F",41.000,"35 to 44 years","5,063","+/-1,488","3,575","6,551"
"B17001F",42.000,"45 to 54 years","2,667","+/-896","1,771","3,563"
"B17001F",43.000,"55 to 64 years","870","+/-439","431","1,309"
"B17001F",44.000,"65 to 74 years","274","+/-197","77","471"
"B17001F",45.0
