ation, maintenance, and repair occupations","300","+/-199","101","499"
"C24010",70.000,"Production, transportation, and material moving occupations:","3,176","+/-940","2,236","4,116"
"C24010",71.000,"Production occupations","1,996","+/-739","1,257","2,735"
"C24010",72.000,"Transportation and material moving occupations:","1,180","+/-519","661","1,699"
"C24010",73.000,"Supervisors, transportation and material moving workers, and other transportation workers except motor vehicle operators","159","+/-178","0",
