to $4,999","0","+/-303","0","303"
"B19325",8.000,"$5,000 to $7,499","340","+/-235","105","575"
"B19325",9.000,"$7,500 to $9,999","1,144","+/-634","510","1,778"
"B19325",10.000,"$10,000 to $12,499","2,711","+/-1,652","1,059","4,363"
"B19325",11.000,"$12,500 to $14,999","2,096","+/-1,197","899","3,293"
"B19325",12.000,"$15,000 to $17,499","4,430","+/-1,231","3,199","5,661"
"B19325",13.000,"$17,500 to $19,999","5,859","+/-1,639","4,220","7,498"
"B19325",14.000,"$20,000 to $22,499","11,020","+/-2,841","8,179","
