,11.000,"Some college or associate's degree","69,111","+/-4,893","64,218","74,004"
"C15001",12.000,"Bachelor's degree or higher","93,219","+/-4,825","88,394","98,044"
"C15001",13.000,"35 to 44 years:","347,946","+/-3,553","344,393","351,499"
"C15001",14.000,"Less than high school graduate","34,891","+/-3,132","31,759","38,023"
"C15001",15.000,"High school graduate (includes equivalency)","95,900","+/-4,317","91,583","100,217"
"C15001",16.000,"Some college or associate's degree","82,060","+/-4,177","77,883",
