27.000,"Public administration","34,463","+/-3,338","31,125","37,801"
"B24042",.,"SEX BY INDUSTRY AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"B24042",.,"Universe:  Full-time, year-round civilian employed population 16 years and over with earnings",,,,
"B24042",1.000,"Male:","38,608","+/-1,920","36,688","40,528"
"B24042",2.000,"Agriculture, forestry, fishing and hunting, and mining:","55,542",
