 married, widowed and divorced):","100,421","+/-5,311","95,110","105,732"
"B13004",10.000,"Partner in an unmarried partner household","14,994","+/-2,269","12,725","17,263"
"B13004",11.000,"Not an unmarried partner","85,427","+/-4,993","80,434","90,420"
"B13008",.,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND CITIZENSHIP STATUS",,,,
"B13008",.,"Universe:  Women 15 to 50 years",,,,
"B13008",1.000,"Total:","206,400","+/-5,576","200,824","211,976"
"B13008",2.000,"Women who ha
