   38","Wholesale trade","        20,926","   3.5%","        17,701","   3.0%","- 0.5%","+/-1.0%","no"
"        3","      39","Retail trade","        76,670","  12.9%","        64,203","  11.0%","- 1.9%","+/-1.7%","yes"
"        3","      40","Transportation and warehousing, and utilities","        31,532","   5.3%","        34,826","   6.0%","   0.7%","+/-1.3%","no"
"        3","      41"," Information","        19,118","   3.2%","        16,378","   2.8%","- 0.4%","+/-1.0%","no"
"        3","      42"
