N","N","N"
"B17020C",17.000,"75 years and over","N","N","N","N"
"B17020D",.,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (ASIAN ALONE)",,,,
"B17020D",.,"Universe:  Asian alone population for whom poverty status is determined",,,,
"B17020D",1.000,"Total:","26,335","+/-3,471","22,864","29,806"
"B17020D",2.000,"Income in the past 12 months below poverty level:","1,578","+/-943","635","2,521"
"B17020D",3.000,"Under 5 years","0","+/-292","0","292"
"B17020D",4.000,"5 years","0","+/-292","0","292"
"B17020D",5.000,
