25018",.,"MEDIAN NUMBER OF ROOMS",,,,
"B25018",.,"Universe:  Housing units",,,,
"B25018",1.000,"Median number of rooms","5.4","+/-0.1","5.3","5.5"
"B25019",.,"AGGREGATE NUMBER OF ROOMS",,,,
"B25019",.,"Universe:  Housing units",,,,
"B25019",1.000,"Aggregate number of rooms","1,621,307","+/-12,428","1,608,879","1,633,735"
"B25020",.,"TENURE BY ROOMS",,,,
"B25020",.,"Universe:  Occupied housing units",,,,
"B25020",1.000,"Total:","236,700","+/-3,436","233,264","240,136"
"B25020",2.000,"Owner occupied:","177,75
