0","Native",294,"Median gross rent (dollars)","710","+/-22","734","+/-24"
"601","Foreign born",1,"Total population","967,089","*****","130,510","+/-7,225"
"601","Foreign born",2,"One race","96.8","+/-0.5","N","N"
"601","Foreign born",3,"Two races","3.0","+/-0.4","N","N"
"601","Foreign born",4,"Three races","0.2","+/-0.1","N","N"
"601","Foreign born",5,"Four or more races","0.0","+/-0.1","N","N"
"601","Foreign born",6,"Male","48.9","+/-0.1","47.6","+/-2.2"
"601","Foreign born",7,"Female","51.1","+/-0.1","52.
