 college or graduate school","25,392","+/-2,716","22,676","28,108"
"B14001A",7.000,"Not enrolled in school","417,444","+/-3,657","413,787","421,101"
"B14001B",.,"SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B14001B",.,"Universe:  Black or African American alone population 3 years and over",,,,
"B14001B",1.000,"Total:","22,743","+/-1,285","21,458","24,028"
"B14001B",2.000,"Enrolled in school:","7,550","+/-1,306","6,244","8,856"
"B14001B",3.0
