"
"B25011",.,"TENURE BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER",,,,
"B25011",.,"Universe:  Occupied housing units",,,,
"B25011",1.000,"Total:","236,700","+/-3,436","233,264","240,136"
"B25011",2.000,"Owner occupied:","177,757","+/-3,663","174,094","181,420"
"B25011",3.000,"Family households:","126,541","+/-3,470","123,071","130,011"
"B25011",4.000,"Married-couple family:","104,066","+/-3,606","100,460","107,672"
"B25011",5.000,"Householder 15 to 34 years","11,652","+/-1,558","10,094"
